Item,Qty,Actual Price,Subtotal,Purpose,Notes,SKU
Pico H - Raspberry Pi Pico with Headers,1,$3.99,$3.99,Main controller,RP2040 with pre-soldered headers,412213
Inland USB 2.0 Type-A to Micro-USB Type-B Cable 3ft,1,$5.99,$5.99,Connects Pico to computer,Data-capable cable,402008
Inland 6x6mm Micro Momentary Tactile Push Button Assortment,1,$9.99,$9.99,Mute / Vol down / Vol up buttons,Assortment kit - only need 3 of the included buttons,221788
MCM Electronics Male to Male Jumper Wires 40 Pack,1,$7.99,$7.99,Pico-to-clip and spare wiring,,847178
Adafruit Industries NeoPixel Stick - 8x WS2812 RGB LED,1,$5.95,$5.95,Volume-level bar display,Powered by 3V3 or 5V; DIN/VCC/GND wiring,493114
Adafruit Small Alligator Clip to Male Jumper Wire Bundle - 12pc,1,$8.99,$8.99,Replaces breadboard for all wiring,Clip end to button/LED legs; jumper end into Pico GPIO header,758128
,,,,,,
TOTAL (actual),,,$42.90,,Excludes tax,
